ID,CHILD_DRIV,AGE,CHILDREN,YOJ,INCOME,HOUSE_VAL,STATUS,GENDER,EDU_LEVEL,JOB,DISTANCE,CAR_USE,VEHICLE_VAL,VEHICLE_TYPE,CLM_FREQ,REVOKED,MVR_PTS,CLAIM_AMOUNT,VEHICLE_AGE,CLAIM_IND,AREA,STATE_CODE
6921625014,0,67,0,14,53841 ,359229 ,z_No,Mal,Bachelors,None,71,Private,21970 ,Family,0,No,2,294 ,12,0,Highly Urban/ Urban,Berlin
1227899219,0,26,1,13,16999 ,265527 ,,Fem,z_High School,Clerical,50,Private,4010 ,unknown,4,No,7,292 ,12,0,Highly Urban/ Urban,Thueringen
1950523925,0,71,0,17,,323918 ,Yes,Mal,<High School,Teacher,77,Private,15440 ,Minivan,0,No,0,387 ,8,0,Highly Urban/ Urban,Bayern
1743448001,0,68,0,,115546 ,361705 ,Yes,Fem,PhD,Doctor,81,Private,18000 ,unknown,4,Yes,3,308 ,19,0,Highly Urban/ Urban,Bayern
7371333285,0,32,1,15,125861 ,70668 ,z_No,Fem,Bachelors,Teacher,91,Commercial,17430 ,Sports Car,0,No,0,3221 ,9,1,Highly Urban/ Urban,Bayern
4792605900,0,60,0,,19715 ,,Yes,Fem,<High School,Teacher,78,Private,8780 ,unknown,0,No,0,308 ,3,0,Highly Urban/ Urban,Bayern
7008254552,1,49,1,14,51375 ,530010 ,,Mal,z_High School,None,66,Private,18930 ,Minivan,3,No,2,6658 ,3,1,Highly Urban/ Urban,Bayern
6003885605,0,68,2,15,44446 ,111891 ,z_No,Fem,<High School,Teacher,75,Commercial,5900 ,unknown,0,No,2,203 ,12,0,z_Highly Rural/ Rural,Bayern
4892513439,1,58,2,,108921 ,480905 ,Yes,Mal,Bachelors,Teacher,89,Commercial,16970 ,Van,1,Yes,10,4312 ,9,1,Highly Urban/ Urban,Bayern
3577687613,0,23,0,13,64338 ,300339 ,z_No,Fem,Bachelors,Clerical,79,Private,11200 ,unknown,0,No,4,2734 ,3,1,Highly Urban/ Urban,Berlin
3857190601,0,71,0,10,107512 ,329784 ,z_No,Mal,Bachelors,Banking,93,Commercial,18510 ,Van,0,No,3,331 ,19,0,z_Highly Rural/ Rural,Bayern
5308762039,0,62,0,17,78060 ,106002 ,z_No,Fem,Masters,Nurse,60,Private,18300 ,Sports Car,0,No,0,6457 ,13,1,Highly Urban/ Urban,Thueringen
7990138122,0,50,0,8,53202 ,315972 ,Yes,Fem,Masters,Banking,81,Private,22420 ,Minivan,0,No,0,351 ,3,0,z_Highly Rural/ Rural,Nordrhein-Westfalen
6876791088,0,67,0,14,60122 ,386347 ,Yes,Mal,Bachelors,Manager,70,Commercial,17600 ,Family,4,Yes,5,321 ,11,0,Highly Urban/ Urban,Nordrhein-Westfalen
1665892909,0,49,0,14,131355 ,594789 ,z_No,Mal,PhD,,109,Commercial,28340 ,Panel Truck,0,No,5,1586 ,12,1,Highly Urban/ Urban,Berlin
7214001584,0,49,2,,22164 ,182559 ,z_No,Mal,z_High School,Clerical,119,Private,9230 ,Pickup,2,Yes,2,320 ,6,0,z_Highly Rural/ Rural,Bayern
6089195886,0,55,0,3,960 ,371864 ,Yes,Fem,<High School,Home Maker,93,Private,6000 ,unknown,2,No,5,3135 ,7,1,Highly Urban/ Urban,Bayern
4640321940,0,34,3,15,52444 ,410622 ,z_No,Fem,Bachelors,Clerical,88,Private,10590 ,unknown,0,No,2,201 ,15,0,z_Highly Rural/ Rural,Bayern
1.02E+10,0,68,0,15,88020 ,64779 ,z_No,Mal,z_High School,Manager,90,Private,15420 ,Minivan,2,No,6,4434 ,3,1,Highly Urban/ Urban,Bayern
2384816008,0,63,0,14,60905 ,315876 ,Yes,Mal,Masters,Nurse,87,Private,14190 ,Family,0,No,0,275 ,18,0,Highly Urban/ Urban,Bayern
2128011043,0,39,3,16,34579 ,138987 ,Yes,Fem,Masters,None,72,Private,8300 ,unknown,0,No,2,329 ,22,0,Highly Urban/ Urban,Sachsen-Anhalt
616676300,0,51,2,15,20663 ,241022 ,Yes,Fem,<High School,Clerical,93,Private,17330 ,Minivan,2,No,0,243 ,9,0,Highly Urban/ Urban,Bayern
7735668456,0,27,1,16,45037 ,724164 ,Yes,Fem,z_High School,Teacher,74,Commercial,8710 ,unknown,4,No,2,7206 ,3,1,Highly Urban/ Urban,Mecklenburg-Vorpomme
1528342092,0,52,0,16,38174 ,,Yes,Mal,<High School,Teacher,97,Commercial,26560 ,Panel Truck,0,No,5,3986 ,3,1,Highly Urban/ Urban,Bayern
5652879254,0,42,0,17,96834 ,365350 ,Yes,Fem,Masters,Nurse,81,Private,11130 ,unknown,1,No,7,290 ,16,0,Highly Urban/ Urban,Bayern
5411180449,0,45,0,14,47241 ,23556 ,z_No,Fem,<High School,Teacher,74,Private,19700 ,Racing,0,No,1,295 ,7,0,Highly Urban/ Urban,Bayern
6254670480,2,50,2,3,560 ,512241 ,Yes,Fem,z_High School,Home Maker,53,Private,5900 ,unknown,5,No,0,327 ,13,0,Highly Urban/ Urban,Mecklenburg-Vorpomme
